Component,GA100 throughput,A100-LPDDR5X throughput,LPDDR5X retained,GA100 throughput_fmt,A100-LPDDR5X throughput_fmt,LPDDR5X retained_fmt
h1_matmul1,130.07733788083533,109.624829480406,84.27665515482336,130.1,109.6,84.3%
h2_matmul2,117.78680705315516,77.27122543381512,65.60261489976882,117.8,77.3,65.6%
qkv,176.5818237373949,151.20874785353234,85.63098095441785,176.6,151.2,85.6%
h_matmul0,476.0164485716142,325.2493891209574,68.32734248930588,476.0,325.2,68.3%
q_mul_k,35911.64554094605,15013.225259135508,41.80600758608402,35911.6,15013.2,41.8%
a_mul_v,35911.64554094605,15013.225259135508,41.80600758608402,35911.6,15013.2,41.8%
softmax,105616.51321225092,43390.385375396785,41.082955738368135,105616.5,43390.4,41.1%
gelu,33384.73306572394,13177.017422289617,39.470189551458304,33384.7,13177.0,39.5%
layernorm0,12811.815883370205,5569.227976790519,43.46946621375821,12811.8,5569.2,43.5%
layernorm1,12811.815883370205,5569.227976790519,43.46946621375821,12811.8,5569.2,43.5%
